SNo.,Flight Name,Flight No.,Source,Destination,Source Name,Destination Name,Start Time,End Time,Total Time,Stops,Price
85,VISTARA,"UK742, UK715",GAU,PAT,Guwahati,Patna,12:40,19:55,7hr 15min,1 stop,8367
86,GO FIRST,"G8758, G8143",GAU,PAT,Guwahati,Patna,17:55,07:25,13hr 30min,1 stop,4741
87,AIR INDIA,"AI9742, AI732",GAU,PAT,Guwahati,Patna,13:05,20:40,7hr 35min,1 stop,8739
88,GO FIRST,"G8152, G8143",GAU,PAT,Guwahati,Patna,15:30,07:25,15hr 55min,1 stop,4741
89,AIR INDIA,"AI890, AI409",GAU,PAT,Guwahati,Patna,15:45,12:10,20hr 25min,1 stop,10839
90,AIR INDIA,"AI9742, AI763, AI409",GAU,PAT,Guwahati,Patna,13:05,12:10,23hr 5min,2 stops,13439
91,AIR INDIA,"AI9742, AI415, AI409",GAU,PAT,Guwahati,Patna,13:05,12:10,23hr 5min,2 stops,13439
92,AIR INDIA,"AI9742, AI763, AI415",GAU,PAT,Guwahati,Patna,13:05,18:45,29hr 40min,2 stops,13439
93,VISTARA,"UK756, UK816, UK715",GAU,PAT,Guwahati,Patna,17:45,19:55,26hr 10min,2 stops,15779
94,VISTARA,"UK756, UK808, UK715",GAU,PAT,Guwahati,Patna,17:45,19:55,26hr 10min,2 stops,15779
95,VISTARA,"UK756, UK812, UK715",GAU,PAT,Guwahati,Patna,17:45,19:55,26hr 10min,2 stops,15779
96,VISTARA,"UK756, UK810, UK715",GAU,PAT,Guwahati,Patna,17:45,19:55,26hr 10min,2 stops,15779
97,AIR INDIA,"AI890, AI803, AI573",GAU,PAT,Guwahati,Patna,15:45,21:20,29hr 35min,2 stops,19039
98,AIR INDIA,"AI890, AI504, AI573",GAU,PAT,Guwahati,Patna,15:45,21:20,29hr 35min,2 stops,19039
99,SPICEJET,SG3725,PAT,GAU,Patna,Guwahati,18:30,20:25,1hr 55min,non-stop,4477
100,INDIGO,"6E342, 6E572",PAT,GAU,Patna,Guwahati,18:20,22:15,3hr 55min,1 stop,4527
101,INDIGO,"6E775, 6E568",PAT,GAU,Patna,Guwahati,13:20,17:35,4hr 15min,1 stop,4527
102,INDIGO,"6E6927, 6E568",PAT,GAU,Patna,Guwahati,11:20,17:35,6hr 15min,1 stop,4527
103,INDIGO,"6E2163, 6E889",PAT,GAU,Patna,Guwahati,08:45,15:05,6hr 20min,1 stop,4527
104,INDIGO,"6E732, 6E2001",PAT,GAU,Patna,Guwahati,11:10,17:45,6hr 35min,1 stop,4527
105,INDIGO,"6E775, 6E7234",PAT,GAU,Patna,Guwahati,13:20,20:35,7hr 15min,1 stop,4527
106,INDIGO,"6E663, 6E568",PAT,GAU,Patna,Guwahati,08:40,17:35,8hr 55min,1 stop,4527
107,INDIGO,"6E775, 6E572",PAT,GAU,Patna,Guwahati,13:20,22:15,8hr 55min,1 stop,4527
108,INDIGO,"6E2163, 6E2001",PAT,GAU,Patna,Guwahati,08:45,17:45,9hr,1 stop,4527
109,INDIGO,"6E6927, 6E7234",PAT,GAU,Patna,Guwahati,11:20,20:35,9hr 15min,1 stop,4527
110,INDIGO,"6E908, 6E2251",PAT,GAU,Patna,Guwahati,19:40,07:50,12hr 10min,1 stop,4527
111,AIR INDIA,"AI415, AI9741",PAT,GAU,Patna,Guwahati,19:10,07:35,12hr 25min,1 stop,7777
112,AIR INDIA,"AI726, AI9741",PAT,GAU,Patna,Guwahati,17:40,07:35,13hr 55min,1 stop,7777
113,VISTARA,"UK716, UK741",PAT,GAU,Patna,Guwahati,20:30,12:05,15hr 35min,1 stop,8105
114,AIR INDIA,"AI410, AI762, AI9741",PAT,GAU,Patna,Guwahati,12:40,07:35,18hr 55min,2 stops,12477
115,AIR INDIA,"AI726, AI415, AI889",PAT,GAU,Patna,Guwahati,17:40,12:10,18hr 30min,2 stops,15277
116,VISTARA,"UK716, UK815, UK755",PAT,GAU,Patna,Guwahati,20:30,17:00,20hr 30min,2 stops,15517
117,VISTARA,"UK716, UK811, UK755",PAT,GAU,Patna,Guwahati,20:30,17:00,20hr 30min,2 stops,15517
118,AIR INDIA,"AI725, AI480, AI889",PAT,GAU,Patna,Guwahati,10:55,12:10,25hr 15min,2 stops,12740
